occ_code,occ_name,group_name
193022,Survey Researchers,Survey Researchers
299092,Genetic Counselors,Genetic Counselors
250000,"Education, Training, and Library Occupations","Education, Training, and Library Occupations"
132051,Financial Analysts,Financial Analysts
132072,Loan Officers,Loan Officers
299011,Occupational Health and Safety Specialists,Occupational Health and Safety Specialists
517021,Furniture Finishers,Woodworkers
517041,"Sawing Machine Setters, Operators, and Tenders, Wood",Woodworkers
517042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Woodworkers
517011,Cabinetmakers and Bench Carpenters,Woodworkers
210000,Community and Social Service Occupations,Community and Social Service Occupations
474021,Elevator Installers and Repairers,Elevator Installers and Repairers
119051,Food Service Managers,Food Service Managers
151132,"Software Developers, Applications",Software Developers
151133,"Software Developers, Systems Software",Software Developers
172141,Mechanical Engineers,Mechanical Engineers
272021,Athletes and Sports Competitors,Athletes and Sports Competitors
172151,"Mining and Geological Engineers, Including Mining Safety Engineers",Mining and Geological Engineers
194092,Forensic Science Technicians,Forensic Science Technicians
232091,Court Reporters,Court Reporters
493023,Automotive Service Technicians and Mechanics,Automotive Service Technicians and Mechanics
271025,Interior Designers,Interior Designers
299012,Occupational Health and Safety Technicians,Occupational Health and Safety Technicians
472021,Brickmasons and Blockmasons,Masonry Workers
474091,Segmental Pavers,Masonry Workers
472053,Terrazzo Workers and Finishers,Masonry Workers
472051,Cement Masons and Concrete Finishers,Masonry Workers
472022,Stonemasons,Masonry Workers
290000,Healthcare Practitioners and Technical Occupations,Healthcare Practitioners and Technical Occupations
271011,Art Directors,Art Directors
119151,Social and Community Service Managers,Social and Community Service Managers
490000,"Installation, Maintenance, and Repair Occupations","Installation, Maintenance, and Repair Occupations"
113021,Computer and Information Systems Managers,Computer and Information Systems Managers
291128,Exercise Physiologists,Exercise Physiologists
132031,Budget Analysts,Budget Analysts
292021,Dental Hygienists,Dental Hygienists
194021,Biological Technicians,Biological Technicians
373011,Landscaping and Groundskeeping Workers,Grounds Maintenance Workers
373019,"Grounds Maintenance Workers, All Other",Grounds Maintenance Workers
373013,Tree Trimmers and Pruners,Grounds Maintenance Workers
373012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Grounds Maintenance Workers
433011,Bill and Account Collectors,Bill and Account Collectors
131111,Management Analysts,Management Analysts
254011,Archivists,"Archivists, Curators, and Museum Workers"
254012,Curators,"Archivists, Curators, and Museum Workers"
254013,Museum Technicians and Conservators,"Archivists, Curators, and Museum Workers"
439031,Desktop Publishers,Desktop Publishers
535011,Sailors and Marine Oilers,Water Transportation Workers
535022,Motorboat Operators,Water Transportation Workers
535031,Ship Engineers,Water Transportation Workers
535021,"Captains, Mates, and Pilots of Water Vessels",Water Transportation Workers
193032,Industrial-Organizational Psychologists,Psychologists
193031,"Clinical, Counseling, and School Psychologists",Psychologists
193039,"Psychologists, All Other",Psychologists
493051,Motorboat Mechanics and Service Technicians,Small Engine Mechanics
493052,Motorcycle Mechanics,Small Engine Mechanics
493053,Outdoor Power Equipment and Other Small Engine Mechanics,Small Engine Mechanics
353011,Bartenders,Bartenders
252021,"Elementary School Teachers, Except Special Education",Kindergarten and Elementary School Teachers
252012,"Kindergarten Teachers, Except Special Education",Kindergarten and Elementary School Teachers
414011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Wholesale and Manufacturing Sales Representatives
414012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Wholesale and Manufacturing Sales Representatives
399011,Childcare Workers,Childcare Workers
193051,Urban and Regional Planners,Urban and Regional Planners
292061,Licensed Practical and Licensed Vocational Nurses,Licensed Practical and Licensed Vocational Nurses
499062,Medical Equipment Repairers,Medical Equipment Repairers
518031,Water and Wastewater Treatment Plant and System Operators,Water and Wastewater Treatment Plant and System Operators
192043,Hydrologists,Hydrologists
493031,Bus and Truck Mechanics and Diesel Engine Specialists,Diesel Service Technicians and Mechanics
510000,Production Occupations,Production Occupations
513021,Butchers and Meat Cutters,Butchers
333021,Detectives and Criminal Investigators,Police and Detectives
333031,Fish and Game Wardens,Police and Detectives
333051,Police and Sheriff's Patrol Officers,Police and Detectives
333052,Transit and Railroad Police,Police and Detectives
291181,Audiologists,Audiologists
192041,"Environmental Scientists and Specialists, Including Health",Environmental Scientists and Specialists
172112,Industrial Engineers,Industrial Engineers
113111,Compensation and Benefits Managers,Compensation and Benefits Managers
519061,"Inspectors, Testers, Sorters, Samplers, and Weighers",Quality Control Inspectors
172171,Petroleum Engineers,Petroleum Engineers
170000,Architecture and Engineering Occupations,Architecture and Engineering Occupations
291131,Veterinarians,Veterinarians
131121,"Meeting, Convention, and Event Planners","Meeting, Convention, and Event Planners"
493041,Farm Equipment Mechanics and Service Technicians,Heavy Vehicle and Mobile Equipment Service Technicians
493042,"Mobile Heavy Equipment Mechanics, Except Engines",Heavy Vehicle and Mobile Equipment Service Technicians
493043,Rail Car Repairers,Heavy Vehicle and Mobile Equipment Service Technicians
292071,Medical Records and Health Information Technicians,Medical Records and Health Information Technicians
473014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",Construction Laborers and Helpers
473015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Construction Laborers and Helpers
473019,"Helpers, Construction Trades, All Other",Construction Laborers and Helpers
473013,Helpers--Electricians,Construction Laborers and Helpers
473012,Helpers--Carpenters,Construction Laborers and Helpers
473011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",Construction Laborers and Helpers
473016,Helpers--Roofers,Construction Laborers and Helpers
472061,Construction Laborers,Construction Laborers and Helpers
292052,Pharmacy Technicians,Pharmacy Technicians
519122,"Painters, Transportation Equipment",Painting and Coating Workers
519123,"Painting, Coating, and Decorating Workers",Painting and Coating Workers
519121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Painting and Coating Workers
291127,Speech-Language Pathologists,Speech-Language Pathologists
113061,Purchasing Managers,Purchasing Managers
119033,"Education Administrators, Postsecondary",Postsecondary Education Administrators
172041,Chemical Engineers,Chemical Engineers
191031,Conservation Scientists,Conservation Scientists and Foresters
191032,Foresters,Conservation Scientists and Foresters
499043,"Maintenance Workers, Machinery","Industrial Machinery Mechanics, Machinery Maintenance Workers, and Millwrights"
499041,Industrial Machinery Mechanics,"Industrial Machinery Mechanics, Machinery Maintenance Workers, and Millwrights"
499044,Millwrights,"Industrial Machinery Mechanics, Machinery Maintenance Workers, and Millwrights"
292041,Emergency Medical Technicians and Paramedics,EMTs and Paramedics
472121,Glaziers,Glaziers
259041,Teacher Assistants,Teacher Assistants
534021,"Railroad Brake, Signal, and Switch Operators",Railroad Workers
534012,Locomotive Firers,Railroad Workers
534031,Railroad Conductors and Yardmasters,Railroad Workers
534013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",Railroad Workers
534011,Locomotive Engineers,Railroad Workers
291011,Chiropractors,Chiropractors
151143,Computer Network Architects,Computer Network Architects
194041,Geological and Petroleum Technicians,Geological and Petroleum Technicians
131081,Logisticians,Logisticians
193092,Geographers,Geographers
310000,Healthcare Support Occupations,Healthcare Support Occupations
339032,Security Guards,Security Guards and Gaming Surveillance Officers
339031,Gaming Surveillance Officers and Gaming Investigators,Security Guards and Gaming Surveillance Officers
291151,Nurse Anesthetists,"Nurse Anesthetists, Nurse Midwives, and Nurse Practitioners"
291161,Nurse Midwives,"Nurse Anesthetists, Nurse Midwives, and Nurse Practitioners"
291171,Nurse Practitioners,"Nurse Anesthetists, Nurse Midwives, and Nurse Practitioners"
292081,"Opticians, Dispensing","Opticians, Dispensing"
532031,Flight Attendants,Flight Attendants
395094,Skincare Specialists,Skincare Specialists
113011,Administrative Services Managers,Administrative Services Managers
492022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Telecommunications Equipment Installers and Repairers
392011,Animal Trainers,Animal Care and Service Workers
392021,Nonfarm Animal Caretakers,Animal Care and Service Workers
533022,"Bus Drivers, School or Special Client",Bus Drivers
533021,"Bus Drivers, Transit and Intercity",Bus Drivers
132052,Personal Financial Advisors,Personal Financial Advisors
271024,Graphic Designers,Graphic Designers
499081,Wind Turbine Service Technicians,Wind Turbine Technicians
434031,"Court, Municipal, and License Clerks",Information Clerks
434061,"Eligibility Interviewers, Government Programs",Information Clerks
434111,"Interviewers, Except Eligibility and Loan",Information Clerks
434199,"Information and Record Clerks, All Other",Information Clerks
434161,"Human Resources Assistants, Except Payroll and Timekeeping",Information Clerks
434071,File Clerks,Information Clerks
434151,Order Clerks,Information Clerks
434021,Correspondence Clerks,Information Clerks
434181,Reservation and Transportation Ticket Agents and Travel Clerks,Information Clerks
434081,"Hotel, Motel, and Resort Desk Clerks",Information Clerks
273042,Technical Writers,Technical Writers
435031,"Police, Fire, and Ambulance Dispatchers","Police, Fire, and Ambulance Dispatchers"
514061,"Model Makers, Metal and Plastic",Metal and Plastic Machine Workers
514122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",Metal and Plastic Machine Workers
514032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Metal and Plastic Machine Workers
514031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Metal and Plastic Machine Workers
514193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",Metal and Plastic Machine Workers
514051,Metal-Refining Furnace Operators and Tenders,Metal and Plastic Machine Workers
514062,"Patternmakers, Metal and Plastic",Metal and Plastic Machine Workers
514011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Metal and Plastic Machine Workers
514191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",Metal and Plastic Machine Workers
514034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Metal and Plastic Machine Workers
514012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Metal and Plastic Machine Workers
514072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",Metal and Plastic Machine Workers
514023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",Metal and Plastic Machine Workers
514035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",Metal and Plastic Machine Workers
514052,"Pourers and Casters, Metal",Metal and Plastic Machine Workers
514081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Metal and Plastic Machine Workers
514071,Foundry Mold and Coremakers,Metal and Plastic Machine Workers
514022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",Metal and Plastic Machine Workers
514033,"Grinding/Lapping/Polishing/Buffing Machine Tool Setters, Operators, and Tenders, Metal and Pla",Metal and Plastic Machine Workers
514021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",Metal and Plastic Machine Workers
434051,Customer Service Representatives,Customer Service Representatives
230000,Legal Occupations,Legal Occupations
211012,"Educational, Guidance, School, and Vocational Counselors",School and Career Counselors
211023,Mental Health and Substance Abuse Social Workers,Social Workers
211021,"Child, Family, and School Social Workers",Social Workers
211022,Healthcare Social Workers,Social Workers
211029,"Social Workers, All Other",Social Workers
152041,Statisticians,Statisticians
435061,"Production, Planning, and Expediting Clerks",Material Recording Clerks
435081,Stock Clerks and Order Fillers,Material Recording Clerks
435071,"Shipping, Receiving, and Traffic Clerks",Material Recording Clerks
435111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Material Recording Clerks
272042,Musicians and Singers,Musicians and Singers
537062,"Laborers and Freight, Stock, and Material Movers, Hand",Hand Laborers and Material Movers
537063,Machine Feeders and Offbearers,Hand Laborers and Material Movers
537081,Refuse and Recyclable Material Collectors,Hand Laborers and Material Movers
537064,"Packers and Packagers, Hand",Hand Laborers and Material Movers
537061,Cleaners of Vehicles and Equipment,Hand Laborers and Material Movers
291141,Registered Nurses,Registered Nurses
252011,"Preschool Teachers, Except Special Education",Preschool Teachers
291122,Occupational Therapists,Occupational Therapists
191022,Microbiologists,Microbiologists
413011,Advertising Sales Agents,Advertising Sales Agents
151152,Computer Network Support Specialists,Computer Support Specialists
151151,Computer User Support Specialists,Computer Support Specialists
192021,Atmospheric and Space Scientists,"Atmospheric Scientists, Including Meteorologists"
172021,Agricultural Engineers,Agricultural Engineers
151122,Information Security Analysts,Information Security Analysts
150000,Computer and Mathematical Occupations,Computer and Mathematical Occupations
271013,"Fine Artists, Including Painters, Sculptors, and Illustrators",Craft and Fine Artists
271012,Craft Artists,Craft and Fine Artists
271019,"Artists and Related Workers, All Other",Craft and Fine Artists
319091,Dental Assistants,Dental Assistants
399032,Recreation Workers,Recreation Workers
514121,"Welders, Cutters, Solderers, and Brazers","Welders, Cutters, Solderers, and Brazers"
292053,Psychiatric Technicians,Psychiatric Technicians and Aides
311013,Psychiatric Aides,Psychiatric Technicians and Aides
272023,"Umpires, Referees, and Other Sports Officials","Umpires, Referees, and Other Sports Officials"
273022,Reporters and Correspondents,"Reporters, Correspondents, and Broadcast News Analysts"
273021,Broadcast News Analysts,"Reporters, Correspondents, and Broadcast News Analysts"
319097,Phlebotomists,Phlebotomists
514041,Machinists,Machinists and Tool and Die Makers
514111,Tool and Die Makers,Machinists and Tool and Die Makers
231021,"Administrative Law Judges, Adjudicators, and Hearing Officers",Judges and Hearing Officers
231023,"Judges, Magistrate Judges, and Magistrates",Judges and Hearing Officers
274011,Audio and Video Equipment Technicians,Broadcast and Sound Engineering Technicians
274012,Broadcast Technicians,Broadcast and Sound Engineering Technicians
274014,Sound Engineering Technicians,Broadcast and Sound Engineering Technicians
272011,Actors,Actors
193093,Historians,Historians
173013,Mechanical Drafters,Drafters
173019,"Drafters, All Other",Drafters
173011,Architectural and Civil Drafters,Drafters
173012,Electrical and Electronics Drafters,Drafters
399031,Fitness Trainers and Aerobics Instructors,Fitness Trainers and Instructors
172161,Nuclear Engineers,Nuclear Engineers
333011,Bailiffs,Correctional Officers and Bailiffs
333012,Correctional Officers and Jailers,Correctional Officers and Bailiffs
436012,Legal Secretaries,Secretaries and Administrative Assistants
436011,Executive Secretaries and Executive Administrative Assistants,Secretaries and Administrative Assistants
436014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Secretaries and Administrative Assistants
436013,Medical Secretaries,Secretaries and Administrative Assistants
292035,Magnetic Resonance Imaging Technologists,Radiologic and MRI Technologists
292034,Radiologic Technologists,Radiologic and MRI Technologists
518012,Power Distributors and Dispatchers,"Power Plant Operators, Distributors, and Dispatchers"
518013,Power Plant Operators,"Power Plant Operators, Distributors, and Dispatchers"
518011,Nuclear Power Reactor Operators,"Power Plant Operators, Distributors, and Dispatchers"
499052,Telecommunications Line Installers and Repairers,Line Installers and Repairers
499051,Electrical Power-Line Installers and Repairers,Line Installers and Repairers
111011,Chief Executives,Top Executives
111021,General and Operations Managers,Top Executives
152031,Operations Research Analysts,Operations Research Analysts
273031,Public Relations Specialists,Public Relations Specialists
171021,Cartographers and Photogrammetrists,Cartographers and Photogrammetrists
291126,Respiratory Therapists,Respiratory Therapists
119121,Natural Sciences Managers,Natural Sciences Managers
518021,Stationary Engineers and Boiler Operators,Stationary Engineers and Boiler Operators
119032,"Education Administrators, Elementary and Secondary School","Elementary, Middle, and High School Principals"
472141,"Painters, Construction and Maintenance","Painters, Construction and Maintenance"
271023,Floral Designers,Floral Designers
419031,Sales Engineers,Sales Engineers
533032,Heavy and Tractor-Trailer Truck Drivers,Heavy and Tractor-trailer Truck Drivers
391012,Slot Supervisors,Gaming Services Workers
393019,"Gaming Service Workers, All Other",Gaming Services Workers
393012,Gaming and Sports Book Writers and Runners,Gaming Services Workers
119071,Gaming Managers,Gaming Services Workers
391011,Gaming Supervisors,Gaming Services Workers
393011,Gaming Dealers,Gaming Services Workers
132021,Appraisers and Assessors of Real Estate,Appraisers and Assessors of Real Estate
399021,Personal Care Aides,Personal Care Aides
332011,Firefighters,Firefighters
172061,Computer Hardware Engineers,Computer Hardware Engineers
112031,Public Relations and Fundraising Managers,Public Relations and Fundraising Managers
172031,Biomedical Engineers,Biomedical Engineers
291124,Radiation Therapists,Radiation Therapists
191013,Soil and Plant Scientists,Agricultural and Food Scientists
191011,Animal Scientists,Agricultural and Food Scientists
191012,Food Scientists and Technologists,Agricultural and Food Scientists
370000,Building and Grounds Cleaning and Maintenance Occupations,Building and Grounds Cleaning and Maintenance Occupations
194091,"Environmental Science and Protection Technicians, Including Health",Environmental Science and Protection Technicians
332022,Forest Fire Inspectors and Prevention Specialists,Fire Inspectors
332021,Fire Inspectors and Investigators,Fire Inspectors
412011,Cashiers,Cashiers
454022,Logging Equipment Operators,Logging Workers
454021,Fallers,Logging Workers
454029,"Logging Workers, All Other",Logging Workers
454023,Log Graders and Scalers,Logging Workers
352021,Food Preparation Workers,Food Preparation Workers
232011,Paralegals and Legal Assistants,Paralegals and Legal Assistants
513011,Bakers,Bakers
191041,Epidemiologists,Epidemiologists
291021,"Dentists, General",Dentists
291029,"Dentists, All Other Specialists",Dentists
291023,Orthodontists,Dentists
291022,Oral and Maxillofacial Surgeons,Dentists
291024,Prosthodontists,Dentists
299091,Athletic Trainers,Athletic Trainers
113031,Financial Managers,Financial Managers
173025,Environmental Engineering Technicians,Environmental Engineering Technicians
472181,Roofers,Roofers
499071,"Maintenance and Repair Workers, General",General Maintenance and Repair Workers
173021,Aerospace Engineering and Operations Technicians,Aerospace Engineering and Operations Technicians
413021,Insurance Sales Agents,Insurance Sales Agents
533031,Driver/Sales Workers,Delivery Truck Drivers and Driver/Sales Workers
533033,Light Truck or Delivery Services Drivers,Delivery Truck Drivers and Driver/Sales Workers
353031,Waiters and Waitresses,Waiters and Waitresses
131151,Training and Development Specialists,Training and Development Specialists
472031,Carpenters,Carpenters
193041,Sociologists,Sociologists
190000,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Occupations"
319011,Massage Therapists,Massage Therapists
395011,Barbers,"Barbers, Hairdressers, and Cosmetologists"
